机构,户头,成交数量,成交单价,成交金额,成交日期,权益类持仓
国泰君安,czh,400,1.243,1901/5/11,42507,基金/长期/513500标普500
国泰君安,czh,1500,1.266,1905/3/13,42541,基金/长期/513500标普500
国泰君安,czh,900,1.347,1903/5/1,42569,基金/长期/513500标普500
财富证券,czh,100,15.4,1904/3/23,42590,股票/股票雷达跟投/603618杭电股份
财富证券,czh,1600,15.33,1967/3/1,42590,股票/股票雷达跟投/603618杭电股份
财富证券,czh,100,15.4,1904/3/23,42590,股票/股票雷达跟投/603618杭电股份
财富证券,czh,200,15.38,1908/6/6,42590,股票/股票雷达跟投/603618杭电股份
财富证券,czh,300,15.39,1912/8/25,42590,股票/股票雷达跟投/603618杭电股份
财富证券,czh,1200,15.34,1950/5/29,42590,股票/股票雷达跟投/603618杭电股份
财富证券,czh,700,25.23,1948/5/12,42591,股票/股票雷达跟投/300062中能电气
财富证券,czh,300,25.323,1920/10/22,42591,股票/股票雷达跟投/300062中能电气
财富证券,czh,300,22.5,1918/6/29,42591,股票/股票雷达跟投/600604市北高新
财富证券,czh,800,22.4,1949/1/27,42591,股票/股票雷达跟投/600604市北高新
财富证券,czh,500,14.26,1919/7/14,42591,股票/股票雷达跟投/600872中炬高新
国泰君安,czh,1800,5.38,1926/7/20,42578,股票/股票雷达跟投/600313农发种业
国泰君安,czh,500,5.37,1907/5/13,42578,股票/股票雷达跟投/600313农发种业
财富证券,czh,400,22.8,1924/12/23,42591,股票/股票雷达跟投/002772众兴菌业
财富证券,czh,200,40,1921/11/30,42591,股票/股票雷达跟投/600680上海普天
财富证券,czh,1000,8.63,1923/8/21,42593,股票/股票雷达跟投/000554泰山石油
蚂蚁聚宝,czh,935.04,1.0684,1902/9/26,42577,基金/可转债/340001兴全可转债全球混合
蚂蚁聚宝,czh,923.46,1.0818,1902/9/26,42600,基金/可转债/340001兴全可转债全球混合
蚂蚁聚宝,czh,7903.2,1.264298006,1927/5/18,42468,基金/可转债/519977长信可转债债券A
蚂蚁聚宝,czh,228.02,1.195498455,1900/9/28,42536,基金/可转债/519977长信可转债债券A
财富证券,czh,500,15.8,1921/8/26,42598,股票/股票雷达跟投/000055方大集团
国泰君安,czh,100,27.3167232,1907/6/28,42552,股票/股票雷达跟投/600571DR信雅达
财富证券,czh,300,16.75,1913/10/7,42598,股票/股票雷达跟投/002440闰土股份
富国基金,czh,504.04,1.981,1902/9/26,42446,基金/进取/100056富国低碳环保
富国基金,czh,497.01,2.012031951,1902/9/26,42480,基金/进取/100056富国低碳环保
富国基金,czh,495.78,2.013998144,1902/9/26,42507,基金/进取/100056富国低碳环保
富国基金,czh,483.07,2.066988221,1902/9/26,42544,基金/进取/100056富国低碳环保
富国基金,czh,454.07,2.199000154,1902/9/26,42569,基金/进取/100056富国低碳环保
富国基金,czh,453.45,2.202,1902/9/26,42600,基金/进取/100056富国低碳环保
天天基金,czh,5000,1,1913/9/8,42642,基金/货币基金/hb09002货币-大成现金增利
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
